Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,submission_date
SUB0279,Beta Cover,Email,Gold,0.65,Logistics,67,2,IL,14761319,1723359,813562,Yes,No,0.74," 1,72,98,240.00 "," 1,28,00,697.00 ",6,No,1,2024-12-02
SUB0280,Delta Insure,API,Bronze,0.35,Hospitality,20,1,LA,2747841,784382,381294,No,Yes,0.39," 39,13,517.00 "," 15,26,271.00 ",7,Yes,0,2025-01-06
SUB0281,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,15402280,2864094,2020497,Yes,No,0.77," 2,02,86,871.00 "," 1,56,20,890.00 ",6,No,1,2025-02-22
SUB0282,Delta Insure,API,Bronze,0.35,Hospitality,47,1,LA,7618620,500000,200000,No,Yes,0.25," 83,18,620.00 "," 20,79,655.00 ",6,Yes,0,2025-03-11
SUB0283,Alpha Risk,Portal,Platinum,0.78,Manufacturing,164,5,OH,38700441,6347210,3264486,Yes,No,0.86," 4,83,12,137.00 "," 4,15,48,437.00 ",6,Yes,1,2025-04-16
SUB0284,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,17,10,FL,7300974,2862976,1252898,No,Yes,0.39," 1,14,16,848.00 "," 44,52,570.00 ",3,No,0,2025-05-16
SUB0285,SecureEdge,Wholesaler,Silver,0.4,Retail,59,5,CA,10261608,3569182,1991553,No,No,0.48," 1,58,22,343.00 "," 75,94,724.00 ",6,Yes,0,2025-06-01
SUB0286,Beta Cover,Email,Gold,0.65,Logistics,67,2,IL,15406485,2082921,685193,Yes,No,0.71," 1,81,74,599.00 "," 1,29,03,965.00 ",8,No,1,2025-07-09
SUB0287,Alpha Risk,Portal,Platinum,0.78,Manufacturing,160,5,OH,43148896,6910497,2880287,Yes,No,0.87," 5,29,39,680.00 "," 4,60,57,521.00 ",2,No,1,2025-08-28
SUB0288,Beta Cover,Email,Gold,0.65,Logistics,74,2,IL,19849101,2410010,1005579,Yes,No,0.64," 2,32,64,690.00 "," 1,48,89,401.00 ",5,Yes,1,2025-09-27
SUB0289,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,21,10,FL,7507630,2245068,1158588,No,Yes,0.41," 1,09,11,286.00 "," 44,73,627.00 ",1,No,0,2024-10-06
SUB0290,Alpha Risk,Portal,Platinum,0.78,Real Estate,238,8,NY,63604662,10506889,4616049,Yes,No,0.91," 7,87,27,600.00 "," 7,16,42,116.00 ",1,No,1,2024-11-16
SUB0291,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,17,10,FL,10429474,1041461,1265132,No,Yes,0.45," 1,27,36,067.00 "," 57,31,230.00 ",5,No,0,2024-12-03
SUB0292,CoreTrust,Portal,Gold,0.66,Education,77,4,NJ,18104481,3976341,2301979,Yes,No,0.82," 2,43,82,801.00 "," 1,99,93,896.00 ",3,No,1,2025-01-20
SUB0293,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,22091467,5776571,1687389,Yes,No,0.79," 2,95,55,427.00 "," 2,33,48,787.00 ",4,No,1,2025-02-28
SUB0294,FastBind,Email,Silver,0.5,Office Space,71,3,CO,12974993,740208,920987,No,No,0.61," 1,46,36,188.00 "," 89,28,074.00 ",3,No,1,2025-03-27
SUB0295,SecureEdge,Wholesaler,Silver,0.4,Retail,35,5,CA,13271307,2649091,1195987,No,No,0.52," 1,71,16,385.00 "," 89,00,520.00 ",1,No,0,2025-04-04
SUB0296,SecureEdge,Wholesaler,Silver,0.4,Retail,29,5,CA,7367130,3598560,1513333,No,No,0.52," 1,24,79,023.00 "," 64,89,091.00 ",1,Yes,0,2025-05-19
SUB0297,Alpha Risk,Portal,Platinum,0.78,Manufacturing,171,5,OH,44547629,7112527,3251945,Yes,No,0.88," 5,49,12,101.00 "," 4,83,22,648.00 ",5,No,1,2025-06-26
SUB0298,SecureEdge,Wholesaler,Silver,0.4,Retail,36,5,CA,13963889,3067734,1281018,No,No,0.39," 1,83,12,641.00 "," 71,41,929.00 ",6,No,0,2025-07-03
SUB0299,Alpha Risk,Portal,Platinum,0.78,Real Estate,268,8,NY,62790113,9554867,5384336,Yes,No,0.86," 7,77,29,316.00 "," 6,68,47,211.00 ",3,Yes,1,2025-08-19
SUB0300,Beta Cover,Email,Gold,0.65,Manufacturing,111,2,FL,19865628,3564188,2664675,Yes,Yes,0.69," 2,60,94,491.00 "," 1,80,05,198.00 ",9,No,1,2025-09-20
SUB0301,CoreTrust,Portal,Gold,0.66,Education,111,4,NJ,23587451,3222814,1513720,Yes,No,0.68," 2,83,23,985.00 "," 1,92,60,309.00 ",5,Yes,1,2024-10-07
SUB0302,Delta Insure,API,Bronze,0.35,Hospitality,25,1,LA,1590803,500000,848692,No,Yes,0.26," 29,39,495.00 "," 7,64,268.00 ",8,Yes,0,2024-11-20
SUB0303,FastBind,Email,Silver,0.5,Office Space,58,3,CO,9991268,502406,1046634,No,No,0.52," 1,15,40,308.00 "," 60,00,960.00 ",1,No,0,2024-12-09
SUB0304,Alpha Risk,Portal,Platinum,0.78,Manufacturing,198,5,OH,42735137,6761669,2998268,Yes,No,0.85," 5,24,95,074.00 "," 4,46,20,812.00 ",5,Yes,1,2025-01-01
SUB0305,Beta Cover,Email,Gold,0.65,Logistics,50,2,IL,18477885,2977387,1198035,Yes,No,0.73," 2,26,53,307.00 "," 1,65,36,914.00 ",3,No,1,2025-02-08
SUB0306,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,4583070,2461190,1397303,No,Yes,0.29," 84,41,563.00 "," 24,48,053.00 ",1,No,0,2025-03-07
SUB0307,Beta Cover,Email,Gold,0.65,Manufacturing,133,2,FL,21956029,3271630,2903676,Yes,Yes,0.76," 2,81,31,335.00 "," 2,13,79,814.00 ",4,No,1,2025-04-18
SUB0308,Delta Insure,API,Bronze,0.35,Hospitality,18,1,LA,5595500,500000,332663,No,Yes,0.37," 64,28,163.00 "," 23,78,420.00 ",5,No,0,2025-05-08
SUB0309,Delta Insure,API,Bronze,0.35,Hospitality,37,1,LA,7047374,1530755,216746,No,Yes,0.35," 87,94,875.00 "," 30,78,206.00 ",7,Yes,0,2025-06-01
SUB0310,Alpha Risk,Portal,Platinum,0.78,Real Estate,244,8,NY,59142586,10095123,4625750,Yes,No,0.88," 7,38,63,459.00 "," 6,49,99,843.00 ",1,No,1,2025-07-11
SUB0311,Beta Cover,Email,Gold,0.65,Manufacturing,112,2,FL,21001535,4764839,2674951,Yes,Yes,0.69," 2,84,41,325.00 "," 1,96,24,514.00 ",3,No,1,2025-08-28
SUB0312,CoreTrust,Portal,Gold,0.66,Education,83,4,NJ,20998658,2738964,1956946,Yes,No,0.7," 2,56,94,568.00 "," 1,79,86,197.00 ",2,No,1,2025-09-25
SUB0313,SecureEdge,Wholesaler,Silver,0.4,Retail,53,5,CA,16465908,2010391,1002424,No,No,0.41," 1,94,78,723.00 "," 79,86,276.00 ",9,Yes,0,2024-10-25
SUB0314,FastBind,Email,Silver,0.5,Office Space,46,3,CO,13569648,2124759,1323553,No,No,0.45," 1,70,17,960.00 "," 76,58,082.00 ",10,No,0,2024-11-18
SUB0315,Alpha Risk,Portal,Platinum,0.78,Manufacturing,162,5,OH,36168529,7706186,2887882,Yes,No,0.81," 4,67,62,597.00 "," 3,78,77,703.00 ",6,No,1,2024-12-23
SUB0316,CoreTrust,Portal,Gold,0.66,Education,83,4,NJ,20405071,4018050,2387551,Yes,No,0.81," 2,68,10,672.00 "," 2,17,16,644.00 ",10,No,1,2025-01-10
SUB0317,Beta Cover,Email,Gold,0.65,Manufacturing,125,2,FL,14612870,3874138,3163333,Yes,Yes,0.74," 2,16,50,341.00 "," 1,60,21,252.00 ",3,No,1,2025-02-03
SUB0318,Alpha Risk,Portal,Platinum,0.78,Real Estate,252,8,NY,56862751,10733365,4550762,Yes,No,0.77," 7,21,46,878.00 "," 5,55,53,096.00 ",8,No,1,2025-03-07
SUB0319,Delta Insure,API,Bronze,0.35,Hospitality,19,1,LA,5707885,1755557,801396,No,Yes,0.21," 82,64,838.00 "," 17,35,615.00 ",8,No,0,2025-04-28
SUB0320,Beta Cover,Email,Gold,0.65,Logistics,70,2,IL,17730123,2537392,601923,Yes,No,0.66," 2,08,69,438.00 "," 1,37,73,829.00 ",2,No,1,2025-05-16
SUB0321,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,14305715,2773429,1287105,Yes,No,0.65," 1,83,66,249.00 "," 1,19,38,061.00 ",6,Yes,1,2025-06-26
SUB0322,Delta Insure,API,Bronze,0.35,Hospitality,10,1,LA,9444584,500000,200000,No,Yes,0.26," 1,01,44,584.00 "," 26,37,591.00 ",7,No,0,2025-07-16
SUB0323,Alpha Risk,Portal,Platinum,0.78,Real Estate,248,8,NY,61300832,10318467,4812839,Yes,No,0.89," 7,64,32,138.00 "," 6,80,24,602.00 ",2,No,1,2025-08-25
SUB0324,CoreTrust,Portal,Gold,0.66,Education,106,4,NJ,16549592,2994591,2447196,Yes,No,0.83," 2,19,91,379.00 "," 1,82,52,844.00 ",10,No,1,2025-09-20
SUB0325,SecureEdge,Wholesaler,Silver,0.4,Retail,36,5,CA,14135848,2622911,1084622,No,No,0.46," 1,78,43,381.00 "," 82,07,955.00 ",2,No,0,2024-10-28
SUB0326,Beta Cover,Email,Gold,0.65,Manufacturing,136,2,FL,16725454,3749356,2720448,Yes,Yes,0.7," 2,31,95,258.00 "," 1,62,36,680.00 ",10,Yes,1,2024-11-17
SUB0327,Alpha Risk,Portal,Platinum,0.78,Warehousing,73,3,TX,21156942,5751034,1711382,Yes,No,0.88," 2,86,19,358.00 "," 2,51,85,035.00 ",1,No,1,2024-12-02
SUB0328,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,12797222,1925054,1453282,Yes,No,0.61," 1,61,75,558.00 "," 98,67,090.00 ",8,Yes,1,2025-01-01
SUB0329,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,28712645,4280385,2299778,Yes,No,0.77," 3,52,92,808.00 "," 2,71,75,462.00 ",1,No,1,2025-02-16
SUB0330,Beta Cover,Email,Gold,0.65,Logistics,74,2,IL,15582369,2293964,1462956,Yes,No,0.68," 1,93,39,289.00 "," 1,31,50,716.00 ",9,Yes,1,2025-03-12
SUB0331,Alpha Risk,Portal,Platinum,0.78,Real Estate,250,8,NY,60686072,10090467,5179744,Yes,No,0.94," 7,59,56,283.00 "," 7,13,98,906.00 ",6,No,1,2025-04-05
SUB0332,Alpha Risk,Portal,Platinum,0.78,Warehousing,78,3,TX,22604549,4719942,1953428,Yes,No,0.9," 2,92,77,919.00 "," 2,63,50,127.00 ",7,No,1,2025-05-05
SUB0333,Delta Insure,API,Bronze,0.35,Hospitality,34,1,LA,7533119,1878778,235796,No,Yes,0.25," 96,47,693.00 "," 24,11,923.00 ",10,No,0,2025-06-27
SUB0334,Delta Insure,API,Bronze,0.35,Hospitality,19,1,LA,2218327,1116591,822293,No,Yes,0.33," 41,57,211.00 "," 13,71,879.00 ",7,Yes,0,2025-07-23
SUB0335,CoreTrust,Portal,Gold,0.66,Education,86,4,NJ,15172378,2789239,1896063,Yes,No,0.8," 1,98,57,680.00 "," 1,58,86,144.00 ",10,Yes,1,2025-08-09
SUB0336,CoreTrust,Portal,Gold,0.66,Education,110,4,NJ,21942569,3869038,2014906,Yes,No,0.68," 2,78,26,513.00 "," 1,89,22,028.00 ",3,Yes,1,2025-09-09
SUB0337,Beta Cover,Email,Gold,0.65,Manufacturing,136,2,FL,20533595,3215062,2786839,Yes,Yes,0.77," 2,65,35,496.00 "," 2,04,32,331.00 ",2,No,1,2024-10-03
SUB0338,Alpha Risk,Portal,Platinum,0.78,Manufacturing,191,5,OH,43885101,7431659,3000214,Yes,No,0.86," 5,43,16,974.00 "," 4,67,12,597.00 ",9,Yes,1,2024-11-19
SUB0339,FastBind,Email,Silver,0.5,Office Space,43,3,CO,5173368,812712,702664,No,No,0.52," 66,88,744.00 "," 34,78,146.00 ",8,No,0,2024-12-16
SUB0340,CoreTrust,Portal,Gold,0.66,Education,94,4,NJ,15758202,4086567,2293344,Yes,No,0.74," 2,21,38,113.00 "," 1,63,82,203.00 ",10,No,1,2025-01-16
SUB0341,SecureEdge,Wholesaler,Silver,0.4,Retail,37,5,CA,12064271,2643113,1240053,No,No,0.47," 1,59,47,437.00 "," 74,95,295.00 ",7,Yes,0,2025-02-03
SUB0342,Alpha Risk,Portal,Platinum,0.78,Real Estate,255,8,NY,64510074,9365481,5331997,Yes,No,0.95," 7,92,07,552.00 "," 7,52,47,174.00 ",9,No,1,2025-03-20
SUB0343,Beta Cover,Email,Gold,0.65,Logistics,84,2,IL,18434900,2231599,877455,Yes,No,0.63," 2,15,43,954.00 "," 1,35,72,691.00 ",4,No,1,2025-04-24
SUB0344,Alpha Risk,Portal,Platinum,0.78,Warehousing,84,3,TX,24246231,5959837,1878484,Yes,No,0.83," 3,20,84,552.00 "," 2,66,30,178.00 ",4,Yes,1,2025-05-22
SUB0345,Alpha Risk,Portal,Platinum,0.78,Warehousing,102,3,TX,26430984,4785422,1879339,Yes,No,0.83," 3,30,95,745.00 "," 2,74,69,468.00 ",1,No,1,2025-06-24
SUB0346,FastBind,Email,Silver,0.5,Office Space,57,3,CO,12607599,1187133,1318275,No,No,0.61," 1,51,13,007.00 "," 92,18,934.00 ",8,No,1,2025-07-01
SUB0347,SecureEdge,Wholesaler,Silver,0.4,Retail,45,5,CA,15916491,3205711,1200577,No,No,0.39," 2,03,22,779.00 "," 79,25,883.00 ",3,No,0,2025-08-24
SUB0348,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,26,10,FL,4661570,1313367,819344,No,Yes,0.47," 67,94,281.00 "," 31,93,312.00 ",7,No,0,2025-09-20
SUB0349,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,30,10,FL,12304602,2826796,883761,No,Yes,0.48," 1,60,15,159.00 "," 76,87,276.00 ",2,No,0,2024-10-11
SUB0350,Alpha Risk,Portal,Platinum,0.78,Warehousing,88,3,TX,29667773,5050432,1506437,Yes,No,0.73," 3,62,24,642.00 "," 2,64,43,988.00 ",2,No,1,2024-11-17
SUB0351,CoreTrust,Portal,Gold,0.66,Education,77,4,NJ,15704231,3652998,2249951,Yes,No,0.8," 2,16,07,180.00 "," 1,72,85,744.00 ",7,No,1,2024-12-08
SUB0352,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,15,10,FL,8070129,2950504,871351,No,Yes,0.29," 1,18,91,984.00 "," 34,48,675.00 ",6,No,0,2025-01-04
SUB0353,Beta Cover,Email,Gold,0.65,Manufacturing,130,2,FL,17525009,4335410,3031063,Yes,Yes,0.65," 2,48,91,482.00 "," 1,61,79,463.00 ",3,No,1,2025-02-06
SUB0354,Beta Cover,Email,Gold,0.65,Logistics,70,2,IL,14991170,2071557,580739,Yes,No,0.72," 1,76,43,466.00 "," 1,27,03,295.00 ",9,No,1,2025-03-08
SUB0355,FastBind,Email,Silver,0.5,Office Space,39,3,CO,8218653,1684590,820739,No,No,0.56," 1,07,23,982.00 "," 60,05,429.00 ",10,Yes,0,2025-04-20
SUB0356,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,13,10,FL,4749684,1672932,678033,No,Yes,0.46," 71,00,649.00 "," 32,66,298.00 ",6,Yes,0,2025-05-03
SUB0357,Beta Cover,Email,Gold,0.65,Logistics,80,2,IL,16865714,1332605,1294035,Yes,No,0.78," 1,94,92,354.00 "," 1,52,04,036.00 ",10,Yes,1,2025-06-16
SUB0358,Alpha Risk,Portal,Platinum,0.78,Warehousing,92,3,TX,28938612,5889128,2036027,Yes,No,0.82," 3,68,63,767.00 "," 3,02,28,288.00 ",10,No,1,2025-07-25
SUB0359,Alpha Risk,Portal,Platinum,0.78,Manufacturing,161,5,OH,41767415,7070404,3051525,Yes,No,0.81," 5,18,89,344.00 "," 4,20,30,368.00 ",6,Yes,1,2025-08-03
SUB0360,Delta Insure,API,Bronze,0.35,Hospitality,26,1,LA,4963681,1806220,421149,No,Yes,0.39," 71,91,050.00 "," 28,04,509.00 ",1,No,0,2025-09-25
SUB0361,SecureEdge,Wholesaler,Silver,0.4,Retail,21,5,CA,14436183,3329353,1839588,No,No,0.43," 1,96,05,124.00 "," 84,30,203.00 ",4,Yes,0,2024-10-18
SUB0362,Delta Insure,API,Bronze,0.35,Hospitality,41,1,LA,9936770,1428526,571825,No,Yes,0.3," 1,19,37,121.00 "," 35,81,136.00 ",10,No,0,2024-11-14
SUB0363,FastBind,Email,Silver,0.5,Office Space,57,3,CO,11422677,1155017,1048233,No,No,0.5," 1,36,25,927.00 "," 68,12,963.00 ",6,Yes,0,2024-12-18
SUB0364,Alpha Risk,Portal,Platinum,0.78,Warehousing,101,3,TX,21761796,5851824,2315716,Yes,No,0.77," 2,99,29,336.00 "," 2,30,45,588.00 ",6,No,1,2025-01-02
SUB0365,CoreTrust,Portal,Gold,0.66,Education,77,4,NJ,15291382,3853870,1525774,Yes,No,0.77," 2,06,71,026.00 "," 1,59,16,690.00 ",5,No,1,2025-02-22
SUB0366,CoreTrust,Portal,Gold,0.66,Education,80,4,NJ,21879286,4406294,1625254,Yes,No,0.69," 2,79,10,834.00 "," 1,92,58,475.00 ",1,No,1,2025-03-03
SUB0367,CoreTrust,Portal,Gold,0.66,Education,102,4,NJ,21845374,2875332,1512396,Yes,No,0.79," 2,62,33,102.00 "," 2,07,24,150.00 ",8,No,1,2025-04-16
SUB0368,Delta Insure,API,Bronze,0.35,Hospitality,13,1,LA,1062698,1720419,200000,No,Yes,0.27," 29,83,117.00 "," 8,05,441.00 ",5,Yes,0,2025-05-09
SUB0369,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,10682113,2314295,755052,No,Yes,0.45," 1,37,51,460.00 "," 61,88,157.00 ",5,No,0,2025-06-04
SUB0370,Alpha Risk,Portal,Platinum,0.78,Real Estate,257,8,NY,59336050,9121075,4718210,Yes,No,0.81," 7,31,75,335.00 "," 5,92,72,021.00 ",7,Yes,1,2025-07-01
SUB0371,Alpha Risk,Portal,Platinum,0.78,Manufacturing,162,5,OH,36929031,6367007,3116986,Yes,No,0.85," 4,64,13,024.00 "," 3,94,51,070.00 ",4,No,1,2025-08-04
SUB0372,Alpha Risk,Portal,Platinum,0.78,Real Estate,246,8,NY,63125737,10923955,5127090,Yes,No,0.79," 7,91,76,782.00 "," 6,25,49,657.00 ",6,Yes,1,2025-09-01
SUB0373,Delta Insure,API,Bronze,0.35,Hospitality,40,1,LA,7989874,673328,644024,No,Yes,0.3," 93,07,226.00 "," 27,92,167.00 ",4,No,0,2024-10-14
SUB0374,SecureEdge,Wholesaler,Silver,0.4,Retail,25,5,CA,16148342,2385550,1194473,No,No,0.48," 1,97,28,365.00 "," 94,69,615.00 ",3,No,0,2024-11-21
SUB0375,Alpha Risk,Portal,Platinum,0.78,Warehousing,87,3,TX,22519048,4262708,1733245,Yes,No,0.84," 2,85,15,001.00 "," 2,39,52,600.00 ",7,Yes,1,2024-12-16
SUB0376,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,31,10,FL,5157798,1847937,1058357,No,Yes,0.3," 80,64,092.00 "," 24,19,227.00 ",8,Yes,0,2025-01-20
SUB0377,FastBind,Email,Silver,0.5,Office Space,66,3,CO,13097358,1929574,704662,No,No,0.58," 1,57,31,594.00 "," 91,24,324.00 ",4,Yes,0,2025-02-24
SUB0378,FastBind,Email,Silver,0.5,Office Space,63,3,CO,5259663,2039789,1489412,No,No,0.5," 87,88,864.00 "," 43,94,432.00 ",2,No,0,2025-03-08
SUB0379,FastBind,Email,Silver,0.5,Office Space,48,3,CO,5143371,1913620,1450058,No,No,0.5," 85,07,049.00 "," 42,53,524.00 ",10,No,0,2025-04-07
SUB0380,Beta Cover,Email,Gold,0.65,Manufacturing,113,2,FL,19237739,4721026,2648788,Yes,Yes,0.67," 2,66,07,553.00 "," 1,78,27,060.00 ",3,Yes,1,2025-05-03
SUB0381,Beta Cover,Email,Gold,0.65,Manufacturing,133,2,FL,20440582,4281444,3490361,Yes,Yes,0.64," 2,82,12,387.00 "," 1,80,55,927.00 ",1,No,1,2025-06-17
SUB0382,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,9037103,1721427,1357082,No,Yes,0.33," 1,21,15,612.00 "," 39,98,151.00 ",8,Yes,0,2025-07-01
SUB0383,Delta Insure,API,Bronze,0.35,Hospitality,45,1,LA,4224051,500000,748536,No,Yes,0.4," 54,72,587.00 "," 21,89,034.00 ",3,No,0,2025-08-16
SUB0384,SecureEdge,Wholesaler,Silver,0.4,Retail,31,5,CA,14084953,3860301,1377302,No,No,0.5," 1,93,22,556.00 "," 96,61,278.00 ",10,Yes,0,2025-09-12
SUB0385,CoreTrust,Portal,Gold,0.66,Education,98,4,NJ,22129406,4252689,1558668,Yes,No,0.67," 2,79,40,763.00 "," 1,87,20,311.00 ",7,Yes,1,2024-10-27
SUB0386,Alpha Risk,Portal,Platinum,0.78,Manufacturing,193,5,OH,42933521,7546919,2933553,Yes,No,0.8," 5,34,13,993.00 "," 4,27,31,194.00 ",10,Yes,1,2024-11-19
SUB0387,Delta Insure,API,Bronze,0.35,Hospitality,24,1,LA,10624205,500000,843544,No,Yes,0.39," 1,19,67,749.00 "," 46,67,422.00 ",5,No,0,2024-12-22
SUB0388,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,10477750,2601571,792255,No,Yes,0.39," 1,38,71,576.00 "," 54,09,914.00 ",10,No,0,2025-01-23
SUB0389,CoreTrust,Portal,Gold,0.66,Education,114,4,NJ,22914729,4275312,1893928,Yes,No,0.66," 2,90,83,969.00 "," 1,91,95,419.00 ",5,No,1,2025-02-22
SUB0390,Alpha Risk,Portal,Platinum,0.78,Manufacturing,162,5,OH,44914803,7616874,2673058,Yes,No,0.8," 5,52,04,735.00 "," 4,41,63,788.00 ",7,Yes,1,2025-03-14
SUB0391,Delta Insure,API,Bronze,0.35,Hospitality,32,1,LA,10551658,752050,541635,No,Yes,0.31," 1,18,45,343.00 "," 36,72,056.00 ",9,No,0,2025-04-06
SUB0392,Delta Insure,API,Bronze,0.35,Hospitality,23,1,LA,2931996,1642985,348483,No,Yes,0.4," 49,23,464.00 "," 19,69,385.00 ",5,No,0,2025-05-06
SUB0393,SecureEdge,Wholesaler,Silver,0.4,Retail,41,5,CA,7638292,2898696,1772962,No,No,0.38," 1,23,09,950.00 "," 46,77,781.00 ",1,Yes,0,2025-06-13
SUB0394,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,36,10,FL,5011116,1444656,1467871,No,Yes,0.41," 79,23,643.00 "," 32,48,693.00 ",10,No,0,2025-07-19
SUB0395,Beta Cover,Email,Gold,0.65,Manufacturing,133,2,FL,20082793,3932833,3438538,Yes,Yes,0.71," 2,74,54,164.00 "," 1,94,92,456.00 ",10,No,1,2025-08-22
SUB0396,Alpha Risk,Portal,Platinum,0.78,Warehousing,71,3,TX,26302963,4207716,1621970,Yes,No,0.9," 3,21,32,649.00 "," 2,89,19,384.00 ",1,Yes,1,2025-09-08
SUB0397,Delta Insure,API,Bronze,0.35,Hospitality,30,1,LA,3313327,500000,409425,No,Yes,0.37," 42,22,752.00 "," 15,62,418.00 ",2,No,0,2024-10-27
SUB0398,Alpha Risk,Portal,Platinum,0.78,Manufacturing,184,5,OH,40600005,7855354,3062089,Yes,No,0.74," 5,15,17,448.00 "," 3,81,22,911.00 ",6,No,1,2024-11-27
SUB0399,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,19,10,FL,6349430,1425495,1300781,No,Yes,0.31," 90,75,706.00 "," 28,13,468.00 ",9,No,0,2024-12-02
SUB0400,Delta Insure,API,Bronze,0.35,Hospitality,48,1,LA,1430166,684125,792252,No,Yes,0.39," 29,06,543.00 "," 11,33,551.00 ",8,Yes,0,2025-01-21
SUB0401,FastBind,Email,Silver,0.5,Office Space,43,3,CO,12520543,1720758,1189810,No,No,0.56," 1,54,31,111.00 "," 86,41,422.00 ",5,Yes,0,2025-02-01
SUB0402,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,15205930,2542631,1732719,Yes,No,0.83," 1,94,81,280.00 "," 1,61,69,462.00 ",1,No,1,2025-03-28
SUB0403,Alpha Risk,Portal,Platinum,0.78,Manufacturing,196,5,OH,38975601,7327861,3468963,Yes,No,0.9," 4,97,72,425.00 "," 4,47,95,182.00 ",7,No,1,2025-04-15
SUB0404,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,31,10,FL,7306008,1610661,669084,No,Yes,0.47," 95,85,753.00 "," 45,05,303.00 ",5,No,0,2025-05-01
SUB0405,CoreTrust,Portal,Gold,0.66,Education,109,4,NJ,17905523,4417474,2290591,Yes,No,0.71," 2,46,13,588.00 "," 1,74,75,647.00 ",6,No,1,2025-06-05
SUB0406,FastBind,Email,Silver,0.5,Office Space,59,3,CO,14957593,888841,1109224,No,No,0.47," 1,69,55,658.00 "," 79,69,159.00 ",7,No,0,2025-07-28
SUB0407,Beta Cover,Email,Gold,0.65,Manufacturing,104,2,FL,19972749,4873708,3377645,Yes,Yes,0.69," 2,82,24,102.00 "," 1,94,74,630.00 ",3,No,1,2025-08-16
SUB0408,CoreTrust,Portal,Gold,0.66,Education,81,4,NJ,20874005,3686989,2496933,Yes,No,0.83," 2,70,57,927.00 "," 2,24,58,079.00 ",10,No,1,2025-09-19
SUB0409,Beta Cover,Email,Gold,0.65,Manufacturing,110,2,FL,19960077,4279339,2859532,Yes,Yes,0.68," 2,70,98,948.00 "," 1,84,27,284.00 ",3,Yes,1,2024-10-04
SUB0410,SecureEdge,Wholesaler,Silver,0.4,Retail,26,5,CA,12699321,2270804,1403241,No,No,0.54," 1,63,73,366.00 "," 88,41,617.00 ",5,No,0,2024-11-03
SUB0411,Alpha Risk,Portal,Platinum,0.78,Manufacturing,178,5,OH,41049154,7497528,3222634,Yes,No,0.8," 5,17,69,316.00 "," 4,14,15,452.00 ",6,No,1,2024-12-17
SUB0412,CoreTrust,Portal,Gold,0.66,Education,109,4,NJ,15760872,3855600,2369390,Yes,No,0.76," 2,19,85,862.00 "," 1,67,09,255.00 ",9,No,1,2025-01-17
SUB0413,Alpha Risk,Portal,Platinum,0.78,Manufacturing,187,5,OH,44336367,7349690,2734985,Yes,No,0.76," 5,44,21,042.00 "," 4,13,59,991.00 ",5,Yes,1,2025-02-12
SUB0414,Alpha Risk,Portal,Platinum,0.78,Warehousing,68,3,TX,29374802,5004682,2196818,Yes,No,0.86," 3,65,76,302.00 "," 3,14,55,619.00 ",1,Yes,1,2025-03-28
SUB0415,Beta Cover,Email,Gold,0.65,Logistics,85,2,IL,10588380,2933567,1308906,Yes,No,0.66," 1,48,30,853.00 "," 97,88,362.00 ",4,Yes,1,2025-04-14
SUB0416,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,27372679,4839281,1645967,Yes,No,0.73," 3,38,57,927.00 "," 2,47,16,286.00 ",5,No,1,2025-05-21
SUB0417,Alpha Risk,Portal,Platinum,0.78,Warehousing,89,3,TX,24088648,5004273,2180935,Yes,No,0.84," 3,12,73,856.00 "," 2,62,70,039.00 ",10,No,1,2025-06-06
SUB0418,Alpha Risk,Portal,Platinum,0.78,Real Estate,267,8,NY,57433079,10239547,4891577,Yes,No,0.93," 7,25,64,203.00 "," 6,74,84,708.00 ",10,Yes,1,2025-07-03
